"","Cell","sum(betweenness)"
"595",595,571943.500586089
"596",596,346856.924003852
"597",597,646289.100500286
"598",598,551654.677465116
"599",599,515952.179721586
"600",600,450280.132318883
"601",601,143378.138489459
"602",602,177851.161293364
"603",603,195008.240921778
"604",604,274206.168718724
"605",605,384223.960529607
"606",606,493744.255096743
"607",607,607660.851293671
"608",608,717360.697884475
"609",609,826238.847464986
"610",610,935793.604555621
"611",611,1049548.37015198
"612",612,1160351.15454759
"613",613,1278628.93711811
"614",614,1387299.41351352
"615",615,1647569
"616",616,1599125
"617",617,2198332
"618",618,1892224
"619",619,1490821
"620",620,1092486
"621",621,1889828
"622",622,2113256.88421439
"623",623,3442403.15152043
"624",624,1920733.9022498
"625",625,2397980.18785609
"626",626,2864066.01314158
"627",627,2258740.81109227
"628",628,3327782.4950951
"629",629,2962361.44028988
"630",630,2519881.97524787
"631",631,3759131.77952009
"632",632,3816152
"633",633,3543592
"634",634,32755322
"635",635,2457874
"636",636,3127781
"637",637,3269563
"638",638,2826230
"639",639,4126402
"640",640,3752623.79492714
"641",641,3699067.79404713
"642",642,2792190.27610903
"643",643,3310401.44956654
"644",644,4141747.8770053
"645",645,4666518.92543603
"646",646,15495548.073727
"647",647,22086556.176281
"648",648,6091308.30313044
"649",649,5621578.29078298
"650",650,5375513.88694524
"651",651,5222563.00765908
"652",652,5272123.77061224
"653",653,4994815.01666667
"654",654,4776051
"655",655,6428237
"656",656,5277516
"657",657,5370347
"658",658,3920633
"659",659,3928743
"660",660,19640723
"661",661,3977676
"662",662,7245447
"663",663,3239244
"664",664,3233403
"665",665,2771862
"666",666,2665263
"667",667,2697898
"668",668,2347032
"669",669,2330523
"670",670,4224061
"671",671,3028547
"672",672,2079337
"673",673,5250373
"674",674,2313157
"675",675,1659793
"676",676,1583397
"677",677,1629395
"678",678,1299271
"679",679,1325248
"680",680,2845854
"681",681,859688
"682",682,841727
"683",683,113207
"684",684,178845.5
"685",685,2506830.36549719
"686",686,1208601.78160871
"687",687,1031494.51879643
"688",688,1018069.38439544
"689",689,858415.77328321
"690",690,1701547.6037283
"691",691,1243457.40888737
"692",692,874166.648930005
"693",693,666672.047653842
"694",694,490577.614783917
"695",695,405915.583004755
"696",696,328719.436080241
"697",697,618130.487272697
"698",698,482994.840453623
"699",699,515982.301623396
"700",700,419406.805292899
"701",701,180690.482880206
"702",702,214553.383386503
"703",703,224930.838914504
"704",704,269895.31226334
"705",705,378749.459667479
"706",706,488946.858102505
"707",707,603630.215551458
"708",708,712310.436474763
"709",709,820070.020134472
"710",710,929890.824075038
"711",711,1043273.3054463
"712",712,1158547.71999633
"713",713,1270707.0950618
"714",714,2019697
"715",715,1506469
"716",716,1776647
"717",717,1708326
"718",718,2301228
"719",719,2197544
"720",720,4042233
"721",721,1478581
"722",722,2797938
"723",723,3237054.09103293
"724",724,2854117.70010144
"725",725,2103949.76739415
"726",726,2530798.83895097
"727",727,3139513.90174424
"728",728,2878973.00678268
"729",729,2834292.32305939
"730",730,3435745.24790784
"731",731,3459319.24372681
"732",732,4072171
"733",733,5880790
"734",734,8372574
"735",735,1978757
"736",736,2346502
"737",737,3022623
"738",738,5422607
"739",739,2874984
"740",740,10663842
"741",741,8829309.44094554
"742",742,8686658.71283141
"743",743,9205786.50909499
"744",744,9780989.45461801
"745",745,20645720.5743822
"746",746,39273749.6331243
"747",747,22359557.1035913
"748",748,20713840.9340914
"749",749,20464723.0741044
"750",750,20300827.4309627
"751",751,20280745.69033
"752",752,19982238.2041026
"753",753,19934456.8506725
"754",754,19554511
"755",755,19385030
"756",756,19339705
"757",757,20569933
"758",758,19901782
"759",759,19776025
"760",760,3771499
"761",761,6751744
"762",762,3539289
"763",763,3696842
"764",764,2595835
"765",765,2809023
"766",766,2493598
"767",767,2466290
"768",768,1880434
"769",769,2517969
"770",770,2277750
"771",771,2498086
"772",772,3254042
"773",773,1469764
"774",774,4356628
"775",775,2220906
"776",776,1556379
"777",777,1782245
"778",778,1262748
"779",779,1240777
"780",780,2915914
"781",781,920891
"782",782,881591.156079739
"783",783,874948.532031947
"784",784,149971.961958313
"785",785,265769.051309556
"786",786,2053421.11909591
"787",787,908347.786820144
"788",788,811374.3191193
"789",789,806346.034868935
"790",790,705064.779731941
"791",791,1201200.26508403
"792",792,947282.270815778
"793",793,730833.286849528
"794",794,568249.579775382
"795",795,408996.187291349
"796",796,390614.699054667
"797",797,470602.220740755
"798",798,358964.286787183
"799",799,337884.70928531
"800",800,288865.592754529
"801",801,218507.92650266
"802",802,251516.781454134
"803",803,261220.883397136
"804",804,268853.117663146
"805",805,347099.885900843
"806",806,455786.706330973
"807",807,573018.348907192
"808",808,678827.496390321
"809",809,786022.913860765
"810",810,894851.46457998
"811",811,1012202.6575337
"812",812,1123715.56694268
"813",813,1242462
"814",814,1347315
"815",815,2098081
"816",816,1596959
"817",817,1866996
"818",818,1782552
"819",819,2435265
"820",820,3326338
"821",821,4114737
"822",822,2156651
"823",823,4002936
"824",824,3137512.66161256
"825",825,3073269.53761538
"826",826,2977151.32006757
"827",827,2798387.33192081
"828",828,3487962.61462991
"829",829,4027216.79700411
"830",830,3472318.89005846
"831",831,3797747.45642395
"832",832,6031442
"833",833,3214951
"834",834,11878915
"835",835,5588538
"836",836,2973389
"837",837,6086936
"838",838,5880116
"839",839,11726728
"840",840,6001878
"841",841,5029101
"842",842,20492457.4040731
"843",843,19241200.5811971
"844",844,30062166.1906199
"845",845,38883434.3752357
"846",846,11503823.8940624
"847",847,9014553.2306085
"848",848,8764291.91260069
"849",849,8596522.30966857
"850",850,8624462.80427887
"851",851,8370392.74272318
"852",852,8328601.44233499
"853",853,8153253.14565687
"854",854,7994127.18420196
"855",855,7380121
"856",856,7258219
"857",857,7470006
"858",858,7221851
"859",859,6777551.16111111
"860",860,8842285.83888889
"861",861,5498856
"862",862,5509179
"863",863,4939998
"864",864,5361949
"865",865,3575925
"866",866,3399373
"867",867,2792506
"868",868,2279743
"869",869,1621539
"870",870,1231811
"871",871,3296317
"872",872,1586065
"873",873,2243389
"874",874,1253646
"875",875,4146519.73333333
"876",876,2040490
"877",877,1725512
"878",878,1380723
"879",879,1207473
"880",880,2790184
"881",881,848502.006343239
"882",882,786510.384279388
"883",883,738560.368549792
"884",884,734556.362686404
"885",885,122791.586766656
"886",886,544859.476572612
"887",887,1530601.41774385
"888",888,811431.665227495
"889",889,744882.559228072
"890",890,712370.022737512
"891",891,623836.547684361
"892",892,895529.862859499
"893",893,919525.644183867
"894",894,701043.508711484
"895",895,551807.78979592
"896",896,359129.656612929
"897",897,378723.660097403
"898",898,314285.075899884
"899",899,260626.420055006
"900",900,213950.854667831
"901",901,256553.049688772
"902",902,288660.50530761
"903",903,297405.278336951
"904",904,301532
"905",905,342079.056043433
"906",906,450338.579782343
"907",907,570736.539901209
"908",908,672620.598248586
"909",909,777394.851208457
"910",910,886503.148623471
"911",911,1001724.5507864
"912",912,1121272.56303097
"913",913,1239146
"914",914,1342763.11666667
"915",915,1447070.78333333
"916",916,2206123
"917",917,1705400
"918",918,1987059
"919",919,1911668
"920",920,2647423
"921",921,3952638
"922",922,2807452
"923",923,3626704
"924",924,3281299.78095125
"925",925,3588893.51798063
"926",926,3454744.41055587
"927",927,2803275.64912717
"928",928,3718703.94595422
"929",929,5359627.96402645
"930",930,3798583.21347208
"931",931,6411964.57518794
"932",932,4287064.76740273
"933",933,3480827
"934",934,7143874
"935",935,7768949
"936",936,41080238.3333333
"937",937,12116663.6666667
"938",938,13897687
"939",939,5519756
"940",940,11236134
"941",941,22751971
"942",942,6620103
"943",943,19046930.5468161
"944",944,30056990.0348971
"945",945,13418308.3040451
"946",946,11154123.9982225
"947",947,10806550.7531866
"948",948,10703017.6842598
"949",949,10111559.2041998
"950",950,9870510.71103876
"951",951,10197553.9834681
"952",952,12522387.8665581
"953",953,12438075.9554879
"954",954,12526761.6439216
"955",955,13100770
"956",956,12862874
"957",957,12820025
"958",958,12300990.2444444
"959",959,12374032.7555556
"960",960,9875822
"961",961,9610803
"962",962,7193875
"963",963,6615393
"964",964,4044937
"965",965,5277911
"966",966,1425388
"967",967,1668725
"968",968,1440580
"969",969,3815071
"970",970,3975635
"971",971,2313237
"972",972,1842334
"973",973,1628049
"974",974,2391001
"975",975,1243404
"976",976,4033111.73333333
"977",977,2276898
"978",978,1324311
"979",979,1243961
"980",980,2708604.91133217
"981",981,675188.451597454
"982",982,654113.047354875
"983",983,623130.035482537
"984",984,615375.947721524
"985",985,718039.695586486
"986",986,575576.001780866
"987",987,881899.371691834
"988",988,1462745.02575518
"989",989,881019.905700545
"990",990,811672.942654913
"991",991,787432.441617859
"992",992,754738.13657002
"993",993,689679.93804105
"994",994,690819.129558122
"995",995,544731.347588845
"996",996,454266.385076291
"997",997,367913.333975853
"998",998,293664.433172354
"999",999,226128.959287973
"1000",1000,163212.129955968
"1001",1001,294822.474772486
"1002",1002,320105.403929124
"1003",1003,321179.454631723
"1004",1004,323515
"1005",1005,331626
"1006",1006,405060.189549935
"1007",1007,529287.090186054
"1008",1008,625146.960083061
"1009",1009,724847.723473516
"1010",1010,837331.795319158
"1011",1011,951930.287534491
"1012",1012,1070409.01366033
"1013",1013,1196933.98333334
"1014",1014,1294510.78333333
"1015",1015,2074403.64166667
"1016",1016,1539078.66666667
"1017",1017,2283108
"1018",1018,1768185
"1019",1019,2127653
"1020",1020,2088862
"1021",1021,3894992
"1022",1022,3429775
"1023",1023,4299575
"1024",1024,3736535.111331
"1025",1025,3100933.56990647
"1026",1026,3475119.88634364
"1027",1027,3581601.85611381
"1028",1028,3306033.20947776
"1029",1029,5129083.70534117
"1030",1030,4192102.44185024
"1031",1031,4772145.48233782
"1032",1032,3694353.32824194
"1033",1033,2912281.94863068
"1034",1034,6369536
"1035",1035,7929151
"1036",1036,6903893
"1037",1037,2593603
"1038",1038,4331564
"1039",1039,3411926
"1040",1040,27086236
"1041",1041,15172495
"1042",1042,20511199
"1043",1043,31451272
"1044",1044,13800561.54694
"1045",1045,11407212.2523649
"1046",1046,9026966.91687768
"1047",1047,8727602.81464612
"1048",1048,8710398.2494255
"1049",1049,9129220.22376756
"1050",1050,9344526.43545399
"1051",1051,11751402
"1052",1052,9062048
"1053",1053,8903536
"1054",1054,8621490
"1055",1055,8476835
"1056",1056,8312436
"1057",1057,8267138.16111111
"1058",1058,7878734.83888889
"1059",1059,7738642
"1060",1060,7664127
"1061",1061,7275847.41666667
"1062",1062,8714830.58333333
"1063",1063,7554067
"1064",1064,9476103
"1065",1065,7942752
"1066",1066,11240823
"1067",1067,7503514
"1068",1068,7852460
"1069",1069,7838674
"1070",1070,5261875
"1071",1071,4632684
"1072",1072,4509160
"1073",1073,4480569
"1074",1074,4427078
"1075",1075,5534235
"1076",1076,1862957
"1077",1077,4340039
"1078",1078,1882529
"1079",1079,1337074.93996763
"1080",1080,2754115.26618377
"1081",1081,747171.245899503
"1082",1082,644892.48902042
"1083",1083,604187.039262957
"1084",1084,1221754.68250499
"1085",1085,1038530.50761535
"1086",1086,579513.351619776
"1087",1087,524186.95978924
"1088",1088,800465.317233265
"1089",1089,1294664.53916352
"1090",1090,925981.685177966
"1091",1091,826803.011922462
"1092",1092,704183.810524548
"1093",1093,625445.397845447
"1094",1094,537796.030368051
"1095",1095,538125.091971842
"1096",1096,415061.616108689
"1097",1097,328214.430866694
"1098",1098,252860.248669365
"1099",1099,189953.735619898
"1100",1100,127133.872983027
"1101",1101,339706.621104764
"1102",1102,335248.355925961
"1103",1103,300851.522969275
"1104",1104,293249
"1105",1105,308994
"1106",1106,331939
"1107",1107,476731.214583333
"1108",1108,547175.864723092
"1109",1109,658388.195112377
"1110",1110,768417.974170396
"1111",1111,883733.405198195
"1112",1112,1003123.3254894
"1113",1113,1140296.23333333
"1114",1114,1221069.25833333
"1115",1115,1319134.14166667
"1116",1116,2711132.39166667
"1117",1117,1638265
"1118",1118,2385226
"1119",1119,1948635
"1120",1120,2781001
"1121",1121,3902412
"1122",1122,3469115
"1123",1123,5693415
"1124",1124,5456090.34792819
"1125",1125,3369709.03524068
"1126",1126,4175753.29838053
"1127",1127,4200915.58912881
"1128",1128,5015965.81325086
"1129",1129,6168198.36679057
"1130",1130,4735865.23719657
"1131",1131,6868826.23114201
"1132",1132,4568884.90541288
"1133",1133,4558894.48957115
"1134",1134,12360167
"1135",1135,4839967
"1136",1136,7140360
"1137",1137,15303071
"1138",1138,4964189
"1139",1139,24092568
"1140",1140,9596946
"1141",1141,23768887
"1142",1142,29167630
"1143",1143,12266759
"1144",1144,10866808.7974807
"1145",1145,8666843.75625364
"1146",1146,8368161.68070198
"1147",1147,8429933.30110811
"1148",1148,8095420.05211822
"1149",1149,8327268.59868609
"1150",1150,11975030
"1151",1151,8716125
"1152",1152,7928757
"1153",1153,7925793
"1154",1154,8037792
"1155",1155,7982905
"1156",1156,7810873
"1157",1157,8342438
"1158",1158,7494290
"1159",1159,7335250
"1160",1160,5900810
"1161",1161,5529809
"1162",1162,5585976
"1163",1163,6219003
"1164",1164,5361433
"1165",1165,6321249
"1166",1166,5586641
"1167",1167,9286278
"1168",1168,5517186
"1169",1169,5970631
"1170",1170,4856035
"1171",1171,5219102
"1172",1172,4415784
"1173",1173,4457191
"1174",1174,4495448
"1175",1175,4461317
"1176",1176,7967999
"1177",1177,5292863
"1178",1178,2201445.10340605
"1179",1179,2615671.21096166
"1180",1180,3570209.27124394
"1181",1181,1418974.88848304
"1182",1182,1328701.67862847
"1183",1183,1280811.65155971
"1184",1184,549061.844937932
"1185",1185,536593.239949481
"1186",1186,896522.703607275
"1187",1187,515462.498554748
"1188",1188,918949.483990983
"1189",1189,1101497.25825152
"1190",1190,1238865.33916928
"1191",1191,898475.383498028
"1192",1192,792177.388918716
"1193",1193,704411.429200777
"1194",1194,627318.533754376
"1195",1195,517488.846270463
"1196",1196,419342.112002187
"1197",1197,315243.392062909
"1198",1198,230791.064035971
"1199",1199,152718.506358367
"1200",1200,90300.3146103708
"1201",1201,414087.683366902
"1202",1202,451002.079457146
"1203",1203,346948.153842619
"1204",1204,303568
"1205",1205,312071
"1206",1206,333045
"1207",1207,369348
"1208",1208,509201
"1209",1209,613757.378242548
"1210",1210,722330.032598225
"1211",1211,838133.479891303
"1212",1212,960192.71983791
"1213",1213,1061539.5
"1214",1214,1155202.14166667
"1215",1215,1255810.69166667
"1216",1216,1537568.58333333
"1217",1217,2768198
